givenName,familyName,preferredName,email,phone,householdKey,dietary,accessibility,note
Clean0,Synth050,,clean0.s06c050@example.test,+15551000000,HH-0,,,SYNTHETIC S06C-050-CLEAN
Clean1,Synth050,,clean1.s06c050@example.test,+15551000001,HH-0,,,SYNTHETIC S06C-050-CLEAN
Clean2,Synth050,,clean2.s06c050@example.test,+15551000002,HH-1,,,SYNTHETIC S06C-050-CLEAN
Clean3,Synth050,,clean3.s06c050@example.test,+15551000003,HH-1,,,SYNTHETIC S06C-050-CLEAN
Clean4,Synth050,,clean4.s06c050@example.test,+15551000004,HH-2,,,SYNTHETIC S06C-050-CLEAN
Clean5,Synth050,,clean5.s06c050@example.test,+15551000005,HH-2,,,SYNTHETIC S06C-050-CLEAN
Clean6,Synth050,,clean6.s06c050@example.test,+15551000006,HH-3,,,SYNTHETIC S06C-050-CLEAN
Clean7,Synth050,,clean7.s06c050@example.test,+15551000007,HH-3,,,SYNTHETIC S06C-050-CLEAN
Clean8,Synth050,,clean8.s06c050@example.test,+15551000008,HH-4,,,SYNTHETIC S06C-050-CLEAN
Clean9,Synth050,,clean9.s06c050@example.test,+15551000009,HH-4,,,SYNTHETIC S06C-050-CLEAN
Clean10,Synth050,,clean10.s06c050@example.test,+15551000010,HH-5,,,SYNTHETIC S06C-050-CLEAN
Clean11,Synth050,,clean11.s06c050@example.test,+15551000011,HH-5,,,SYNTHETIC S06C-050-CLEAN
Clean12,Synth050,,clean12.s06c050@example.test,+15551000012,HH-6,,,SYNTHETIC S06C-050-CLEAN
Clean13,Synth050,,clean13.s06c050@example.test,+15551000013,HH-6,,,SYNTHETIC S06C-050-CLEAN
Clean14,Synth050,,clean14.s06c050@example.test,+15551000014,HH-7,,,SYNTHETIC S06C-050-CLEAN
Clean15,Synth050,,clean15.s06c050@example.test,+15551000015,HH-7,,,SYNTHETIC S06C-050-CLEAN
Clean16,Synth050,,clean16.s06c050@example.test,+15551000016,HH-8,,,SYNTHETIC S06C-050-CLEAN
Clean17,Synth050,,clean17.s06c050@example.test,+15551000017,HH-8,,,SYNTHETIC S06C-050-CLEAN
Clean18,Synth050,,clean18.s06c050@example.test,+15551000018,HH-9,,,SYNTHETIC S06C-050-CLEAN
Clean19,Synth050,,clean19.s06c050@example.test,+15551000019,HH-9,,,SYNTHETIC S06C-050-CLEAN
Clean20,Synth050,,clean20.s06c050@example.test,+15551000020,HH-10,,,SYNTHETIC S06C-050-CLEAN
Clean21,Synth050,,clean21.s06c050@example.test,+15551000021,HH-10,,,SYNTHETIC S06C-050-CLEAN
Clean22,Synth050,,clean22.s06c050@example.test,+15551000022,HH-11,,,SYNTHETIC S06C-050-CLEAN
Clean23,Synth050,,clean23.s06c050@example.test,+15551000023,HH-11,,,SYNTHETIC S06C-050-CLEAN
Clean24,Synth050,,clean24.s06c050@example.test,+15551000024,HH-12,,,SYNTHETIC S06C-050-CLEAN
Clean25,Synth050,,clean25.s06c050@example.test,+15551000025,HH-12,,,SYNTHETIC S06C-050-CLEAN
Clean26,Synth050,,clean26.s06c050@example.test,+15551000026,HH-13,,,SYNTHETIC S06C-050-CLEAN
Clean27,Synth050,,clean27.s06c050@example.test,+15551000027,HH-13,,,SYNTHETIC S06C-050-CLEAN
Clean28,Synth050,,clean28.s06c050@example.test,+15551000028,HH-14,,,SYNTHETIC S06C-050-CLEAN
Clean29,Synth050,,clean29.s06c050@example.test,+15551000029,HH-14,,,SYNTHETIC S06C-050-CLEAN
Clean30,Synth050,,clean30.s06c050@example.test,+15551000030,HH-15,,,SYNTHETIC S06C-050-CLEAN
Clean31,Synth050,,clean31.s06c050@example.test,+15551000031,HH-15,,,SYNTHETIC S06C-050-CLEAN
Clean32,Synth050,,clean32.s06c050@example.test,+15551000032,HH-16,,,SYNTHETIC S06C-050-CLEAN
Clean33,Synth050,,clean33.s06c050@example.test,+15551000033,HH-16,,,SYNTHETIC S06C-050-CLEAN
Clean34,Synth050,,clean34.s06c050@example.test,+15551000034,HH-17,,,SYNTHETIC S06C-050-CLEAN
Clean35,Synth050,,clean35.s06c050@example.test,+15551000035,HH-17,,,SYNTHETIC S06C-050-CLEAN
Clean36,Synth050,,clean36.s06c050@example.test,+15551000036,HH-18,,,SYNTHETIC S06C-050-CLEAN
Clean37,Synth050,,clean37.s06c050@example.test,+15551000037,HH-18,,,SYNTHETIC S06C-050-CLEAN
Clean38,Synth050,,clean38.s06c050@example.test,+15551000038,HH-19,,,SYNTHETIC S06C-050-CLEAN
Clean39,Synth050,,clean39.s06c050@example.test,+15551000039,HH-19,,,SYNTHETIC S06C-050-CLEAN
Clean40,Synth050,,clean40.s06c050@example.test,+15551000040,HH-20,,,SYNTHETIC S06C-050-CLEAN
Clean41,Synth050,,clean41.s06c050@example.test,+15551000041,HH-20,,,SYNTHETIC S06C-050-CLEAN
Clean42,Synth050,,clean42.s06c050@example.test,+15551000042,HH-21,,,SYNTHETIC S06C-050-CLEAN
Clean43,Synth050,,clean43.s06c050@example.test,+15551000043,HH-21,,,SYNTHETIC S06C-050-CLEAN
