givenName,familyName,preferredName,email,phone,householdKey,dietary,accessibility,note
,,,not-an-email,=1+1,HD-0,,,@SUM(A1)
Dirty1,SynthDirty,,dirty1.s06c@example.test,+15554000001,HD-0,,,SYNTHETIC S06C-1000-DIRTY
Dirty2,SynthDirty,,dirty2.s06c@example.test,+15554000002,HD-0,,,SYNTHETIC S06C-1000-DIRTY
Dirty3,SynthDirty,,dirty3.s06c@example.test,+15554000003,HD-0,,,SYNTHETIC S06C-1000-DIRTY
Dirty4,SynthDirty,,dirty4.s06c@example.test,+15554000004,HD-0,,,SYNTHETIC S06C-1000-DIRTY
Dirty5,SynthDirty,,dirty5.s06c@example.test,+15554000005,HD-1,,,SYNTHETIC S06C-1000-DIRTY
Dirty6,SynthDirty,,dirty6.s06c@example.test,+15554000006,HD-1,,,SYNTHETIC S06C-1000-DIRTY
Dirty7,SynthDirty,,dirty7.s06c@example.test,+15554000007,HD-1,,,SYNTHETIC S06C-1000-DIRTY
Dirty8,SynthDirty,,dirty8.s06c@example.test,+15554000008,HD-1,,,SYNTHETIC S06C-1000-DIRTY
Dirty9,SynthDirty,,dirty9.s06c@example.test,+15554000009,HD-1,,,SYNTHETIC S06C-1000-DIRTY
Dirty10,SynthDirty,,dirty10.s06c@example.test,+15554000010,HD-2,,,SYNTHETIC S06C-1000-DIRTY
Dirty11,SynthDirty,,dirty11.s06c@example.test,+15554000011,HD-2,,,SYNTHETIC S06C-1000-DIRTY
Dirty12,SynthDirty,,dirty12.s06c@example.test,+15554000012,HD-2,,,SYNTHETIC S06C-1000-DIRTY
Dirty13,SynthDirty,,dirty13.s06c@example.test,+15554000013,HD-2,,,SYNTHETIC S06C-1000-DIRTY
Dirty14,SynthDirty,,dirty14.s06c@example.test,+15554000014,HD-2,,,SYNTHETIC S06C-1000-DIRTY
Dirty15,SynthDirty,,dirty15.s06c@example.test,+15554000015,HD-3,,,SYNTHETIC S06C-1000-DIRTY
Dirty16,SynthDirty,,dirty16.s06c@example.test,+15554000016,HD-3,,,SYNTHETIC S06C-1000-DIRTY
Dirty17,SynthDirty,,dirty17.s06c@example.test,+15554000017,HD-3,,,SYNTHETIC S06C-1000-DIRTY
Dirty18,SynthDirty,,dirty18.s06c@example.test,+15554000018,HD-3,,,SYNTHETIC S06C-1000-DIRTY
Dirty19,SynthDirty,,dirty19.s06c@example.test,+15554000019,HD-3,,,SYNTHETIC S06C-1000-DIRTY
Dirty20,SynthDirty,,dirty20.s06c@example.test,+15554000020,HD-4,,,SYNTHETIC S06C-1000-DIRTY
Dirty21,SynthDirty,,dirty21.s06c@example.test,+15554000021,HD-4,,,SYNTHETIC S06C-1000-DIRTY
Dirty22,SynthDirty,,dirty22.s06c@example.test,+15554000022,HD-4,,,SYNTHETIC S06C-1000-DIRTY
Dirty23,SynthDirty,,dirty23.s06c@example.test,+15554000023,HD-4,,,SYNTHETIC S06C-1000-DIRTY
Dirty24,SynthDirty,,dirty24.s06c@example.test,+15554000024,HD-4,,,SYNTHETIC S06C-1000-DIRTY
Dirty25,SynthDirty,,dirty25.s06c@example.test,+15554000025,HD-5,,,SYNTHETIC S06C-1000-DIRTY
Dirty26,SynthDirty,,dirty26.s06c@example.test,+15554000026,HD-5,,,SYNTHETIC S06C-1000-DIRTY
Dirty27,SynthDirty,,dirty27.s06c@example.test,+15554000027,HD-5,,,SYNTHETIC S06C-1000-DIRTY
Dirty28,SynthDirty,,dirty28.s06c@example.test,+15554000028,HD-5,,,SYNTHETIC S06C-1000-DIRTY
Dirty29,SynthDirty,,dirty29.s06c@example.test,+15554000029,HD-5,,,SYNTHETIC S06C-1000-DIRTY
Dirty30,SynthDirty,,dirty30.s06c@example.test,+15554000030,HD-6,,,SYNTHETIC S06C-1000-DIRTY
Dirty31,SynthDirty,,dirty31.s06c@example.test,+15554000031,HD-6,,,SYNTHETIC S06C-1000-DIRTY
Dirty32,SynthDirty,,dirty32.s06c@example.test,+15554000032,HD-6,,,SYNTHETIC S06C-1000-DIRTY
Dirty33,SynthDirty,,dirty33.s06c@example.test,+15554000033,HD-6,,,SYNTHETIC S06C-1000-DIRTY
Dirty34,SynthDirty,,dirty34.s06c@example.test,+15554000034,HD-6,,,SYNTHETIC S06C-1000-DIRTY
Dirty35,SynthDirty,,dirty35.s06c@example.test,+15554000035,HD-7,,,SYNTHETIC S06C-1000-DIRTY
Dirty36,SynthDirty,,dirty36.s06c@example.test,+15554000036,HD-7,,,SYNTHETIC S06C-1000-DIRTY
Dirty37,SynthDirty,,dirty37.s06c@example.test,+15554000037,HD-7,,,SYNTHETIC S06C-1000-DIRTY
Dirty38,SynthDirty,,dirty38.s06c@example.test,+15554000038,HD-7,,,SYNTHETIC S06C-1000-DIRTY
Dirty39,SynthDirty,,dirty39.s06c@example.test,+15554000039,HD-7,,,SYNTHETIC S06C-1000-DIRTY
Dirty40,SynthDirty,,dirty40.s06c@example.test,+15554000040,HD-8,,,SYNTHETIC S06C-1000-DIRTY
Dirty41,SynthDirty,,dirty41.s06c@example.test,+15554000041,HD-8,,,SYNTHETIC S06C-1000-DIRTY
Dirty42,SynthDirty,,dirty42.s06c@example.test,+15554000042,HD-8,,,SYNTHETIC S06C-1000-DIRTY
Dirty43,SynthDirty,,dirty43.s06c@example.test,+15554000043,HD-8,,,SYNTHETIC S06C-1000-DIRTY
Dirty44,SynthDirty,,dirty44.s06c@example.test,+15554000044,HD-8,,,SYNTHETIC S06C-1000-DIRTY
Dirty45,SynthDirty,,dirty45.s06c@example.test,+15554000045,HD-9,,,SYNTHETIC S06C-1000-DIRTY
Dirty46,SynthDirty,,dirty46.s06c@example.test,+15554000046,HD-9,,,SYNTHETIC S06C-1000-DIRTY
Dirty47,SynthDirty,,dirty47.s06c@example.test,+15554000047,HD-9,,,SYNTHETIC S06C-1000-DIRTY
Dirty48,SynthDirty,,dirty48.s06c@example.test,+15554000048,HD-9,,,SYNTHETIC S06C-1000-DIRTY
Dirty49,SynthDirty,,dirty49.s06c@example.test,+15554000049,HD-9,,,SYNTHETIC S06C-1000-DIRTY
Dirty50,SynthDirty,,,+15554000050,HD-10,,,SYNTHETIC S06C-1000-DIRTY
Dirty51,SynthDirty,,dirty51.s06c@example.test,+15554000051,HD-10,,,SYNTHETIC S06C-1000-DIRTY
Dirty52,SynthDirty,,dirty52.s06c@example.test,+15554000052,HD-10,,,SYNTHETIC S06C-1000-DIRTY
Dirty53,SynthDirty,,dirty53.s06c@example.test,+15554000053,HD-10,,,SYNTHETIC S06C-1000-DIRTY
Dirty54,SynthDirty,,dirty54.s06c@example.test,+15554000054,HD-10,,,SYNTHETIC S06C-1000-DIRTY
Dirty55,SynthDirty,,dirty55.s06c@example.test,+15554000055,HD-11,,,SYNTHETIC S06C-1000-DIRTY
Dirty56,SynthDirty,,dirty56.s06c@example.test,+15554000056,HD-11,,,SYNTHETIC S06C-1000-DIRTY
Dirty57,SynthDirty,,dirty57.s06c@example.test,+15554000057,HD-11,,,SYNTHETIC S06C-1000-DIRTY
Dirty58,SynthDirty,,dirty58.s06c@example.test,+15554000058,HD-11,,,SYNTHETIC S06C-1000-DIRTY
Dirty59,SynthDirty,,dirty59.s06c@example.test,+15554000059,HD-11,,,SYNTHETIC S06C-1000-DIRTY
,,,dirty60.s06c@example.test,+15554000060,HD-12,,,SYNTHETIC S06C-1000-DIRTY
Dirty61,SynthDirty,,dirty61.s06c@example.test,+15554000061,HD-12,,,SYNTHETIC S06C-1000-DIRTY
Dirty62,SynthDirty,,dirty62.s06c@example.test,+15554000062,HD-12,,,SYNTHETIC S06C-1000-DIRTY
Dirty63,SynthDirty,,dirty63.s06c@example.test,+15554000063,HD-12,,,SYNTHETIC S06C-1000-DIRTY
Dirty64,SynthDirty,,dirty64.s06c@example.test,+15554000064,HD-12,,,SYNTHETIC S06C-1000-DIRTY
Dirty65,SynthDirty,,dirty65.s06c@example.test,+15554000065,HD-13,,,SYNTHETIC S06C-1000-DIRTY
Dirty66,SynthDirty,,dirty66.s06c@example.test,+15554000066,HD-13,,,SYNTHETIC S06C-1000-DIRTY
Dirty67,SynthDirty,,dirty67.s06c@example.test,+15554000067,HD-13,,,SYNTHETIC S06C-1000-DIRTY
Dirty68,SynthDirty,,dirty68.s06c@example.test,+15554000068,HD-13,,,SYNTHETIC S06C-1000-DIRTY
Dirty69,SynthDirty,,dirty69.s06c@example.test,+15554000069,HD-13,,,SYNTHETIC S06C-1000-DIRTY
Dirty70,SynthDirty,,dirty70.s06c@example.test,+15554000070,HD-14,,,@SUM(A1)
Dirty71,SynthDirty,,dirty71.s06c@example.test,+15554000071,HD-14,,,SYNTHETIC S06C-1000-DIRTY
