givenName,familyName,preferredName,email,phone,householdKey,dietary,accessibility,note
Syn0,Guest1000TYPICAL,,syn0.1000TYPICAL.s06c@example.test,+15553000000,HH-0,vegetarian,wheelchair access,SYNTHETIC S06C-1000-TYPICAL
Syn1,Guest1000TYPICAL,,syn1.1000TYPICAL.s06c@example.test,+15553000001,HH-0,,,SYNTHETIC S06C-1000-TYPICAL
Syn2,Guest1000TYPICAL,,syn2.1000TYPICAL.s06c@example.test,+15553000002,HH-0,,,SYNTHETIC S06C-1000-TYPICAL
Syn3,Guest1000TYPICAL,,syn3.1000TYPICAL.s06c@example.test,+15553000003,HH-0,,,SYNTHETIC S06C-1000-TYPICAL
Syn4,Guest1000TYPICAL,,syn4.1000TYPICAL.s06c@example.test,+15553000004,HH-1,,,SYNTHETIC S06C-1000-TYPICAL
Syn5,Guest1000TYPICAL,,syn5.1000TYPICAL.s06c@example.test,+15553000005,HH-1,,,SYNTHETIC S06C-1000-TYPICAL
Syn6,Guest1000TYPICAL,,syn6.1000TYPICAL.s06c@example.test,+15553000006,HH-1,,,SYNTHETIC S06C-1000-TYPICAL
Syn7,Guest1000TYPICAL,,syn7.1000TYPICAL.s06c@example.test,+15553000007,HH-1,,,SYNTHETIC S06C-1000-TYPICAL
Syn8,Guest1000TYPICAL,,syn8.1000TYPICAL.s06c@example.test,+15553000008,HH-2,,,SYNTHETIC S06C-1000-TYPICAL
Syn9,Guest1000TYPICAL,,syn9.1000TYPICAL.s06c@example.test,+15553000009,HH-2,,,SYNTHETIC S06C-1000-TYPICAL
Syn10,Guest1000TYPICAL,,syn10.1000TYPICAL.s06c@example.test,+15553000010,HH-2,,,SYNTHETIC S06C-1000-TYPICAL
Syn11,Guest1000TYPICAL,,syn11.1000TYPICAL.s06c@example.test,+15553000011,HH-2,,,SYNTHETIC S06C-1000-TYPICAL
Syn12,Guest1000TYPICAL,,syn12.1000TYPICAL.s06c@example.test,+15553000012,HH-3,,,SYNTHETIC S06C-1000-TYPICAL
Syn13,Guest1000TYPICAL,,syn13.1000TYPICAL.s06c@example.test,+15553000013,HH-3,,,SYNTHETIC S06C-1000-TYPICAL
Syn14,Guest1000TYPICAL,,syn14.1000TYPICAL.s06c@example.test,+15553000014,HH-3,,,SYNTHETIC S06C-1000-TYPICAL
Syn15,Guest1000TYPICAL,,syn15.1000TYPICAL.s06c@example.test,+15553000015,HH-3,,,SYNTHETIC S06C-1000-TYPICAL
Syn16,Guest1000TYPICAL,,syn16.1000TYPICAL.s06c@example.test,+15553000016,HH-4,,,SYNTHETIC S06C-1000-TYPICAL
Syn17,Guest1000TYPICAL,,syn17.1000TYPICAL.s06c@example.test,+15553000017,HH-4,vegetarian,,SYNTHETIC S06C-1000-TYPICAL
Syn18,Guest1000TYPICAL,,syn18.1000TYPICAL.s06c@example.test,+15553000018,HH-4,,,SYNTHETIC S06C-1000-TYPICAL
Syn19,Guest1000TYPICAL,,syn19.1000TYPICAL.s06c@example.test,+15553000019,HH-4,,,SYNTHETIC S06C-1000-TYPICAL
Syn20,Guest1000TYPICAL,,syn20.1000TYPICAL.s06c@example.test,+15553000020,HH-5,,,SYNTHETIC S06C-1000-TYPICAL
Syn21,Guest1000TYPICAL,,syn21.1000TYPICAL.s06c@example.test,+15553000021,HH-5,,,SYNTHETIC S06C-1000-TYPICAL
Syn22,Guest1000TYPICAL,,syn22.1000TYPICAL.s06c@example.test,+15553000022,HH-5,,,SYNTHETIC S06C-1000-TYPICAL
Syn23,Guest1000TYPICAL,,syn23.1000TYPICAL.s06c@example.test,+15553000023,HH-5,,wheelchair access,SYNTHETIC S06C-1000-TYPICAL
Syn24,Guest1000TYPICAL,,syn24.1000TYPICAL.s06c@example.test,+15553000024,HH-6,,,SYNTHETIC S06C-1000-TYPICAL
Syn25,Guest1000TYPICAL,,syn25.1000TYPICAL.s06c@example.test,+15553000025,HH-6,,,SYNTHETIC S06C-1000-TYPICAL
Syn26,Guest1000TYPICAL,,syn26.1000TYPICAL.s06c@example.test,+15553000026,HH-6,,,SYNTHETIC S06C-1000-TYPICAL
Syn27,Guest1000TYPICAL,,syn27.1000TYPICAL.s06c@example.test,+15553000027,HH-6,,,SYNTHETIC S06C-1000-TYPICAL
Syn28,Guest1000TYPICAL,,syn28.1000TYPICAL.s06c@example.test,+15553000028,HH-7,,,SYNTHETIC S06C-1000-TYPICAL
Syn29,Guest1000TYPICAL,,syn29.1000TYPICAL.s06c@example.test,+15553000029,HH-7,,,SYNTHETIC S06C-1000-TYPICAL
Syn30,Guest1000TYPICAL,,syn30.1000TYPICAL.s06c@example.test,+15553000030,HH-7,,,SYNTHETIC S06C-1000-TYPICAL
Syn31,Guest1000TYPICAL,,syn31.1000TYPICAL.s06c@example.test,+15553000031,HH-7,,,SYNTHETIC S06C-1000-TYPICAL
Syn32,Guest1000TYPICAL,,syn32.1000TYPICAL.s06c@example.test,+15553000032,HH-8,,,SYNTHETIC S06C-1000-TYPICAL
