givenName,familyName,preferredName,email,phone,householdKey,dietary,accessibility,note
Mix0,Synth600,,mix0.s06c600@example.test,+15552000000,HH6-0,vegetarian,,SYNTHETIC S06C-600-MIXED
Mix1,Synth600,,mix1.s06c600@example.test,+15552000001,HH6-0,,,SYNTHETIC S06C-600-MIXED
Mix2,Synth600,,mix2.s06c600@example.test,+15552000002,HH6-0,,,SYNTHETIC S06C-600-MIXED
Mix3,Synth600,,mix3.s06c600@example.test,+15552000003,HH6-1,,,SYNTHETIC S06C-600-MIXED
Mix4,Synth600,,mix4.s06c600@example.test,+15552000004,HH6-1,,,SYNTHETIC S06C-600-MIXED
Mix5,Synth600,,mix5.s06c600@example.test,+15552000005,HH6-1,,,SYNTHETIC S06C-600-MIXED
Mix6,Synth600,,mix6.s06c600@example.test,+15552000006,HH6-2,,,SYNTHETIC S06C-600-MIXED
Mix7,Synth600,,mix7.s06c600@example.test,+15552000007,HH6-2,,,=CMD|SYNTHETIC_FORMULA_PROBE
Mix8,Synth600,,mix8.s06c600@example.test,+15552000008,HH6-2,,,SYNTHETIC S06C-600-MIXED
Mix9,Synth600,,mix9.s06c600@example.test,+15552000009,HH6-3,,,SYNTHETIC S06C-600-MIXED
Mix10,Synth600,,mix10.s06c600@example.test,+15552000010,HH6-3,,,SYNTHETIC S06C-600-MIXED
Mix11,Synth600,,mix11.s06c600@example.test,+15552000011,HH6-3,,,SYNTHETIC S06C-600-MIXED
Mix12,Synth600,,mix12.s06c600@example.test,+15552000012,HH6-4,,,SYNTHETIC S06C-600-MIXED
Mix13,Synth600,,mix13.s06c600@example.test,+15552000013,HH6-4,,,SYNTHETIC S06C-600-MIXED
Mix14,Synth600,,mix14.s06c600@example.test,+15552000014,HH6-4,,,SYNTHETIC S06C-600-MIXED
Mix15,Synth600,,mix15.s06c600@example.test,+15552000015,HH6-5,,,SYNTHETIC S06C-600-MIXED
Mix16,Synth600,,mix16.s06c600@example.test,+15552000016,HH6-5,,,SYNTHETIC S06C-600-MIXED
Mix17,Synth600,,mix17.s06c600@example.test,+15552000017,HH6-5,,,SYNTHETIC S06C-600-MIXED
Mix18,Synth600,,mix18.s06c600@example.test,+15552000018,HH6-6,,,SYNTHETIC S06C-600-MIXED
Mix19,Synth600,,mix19.s06c600@example.test,+15552000019,HH6-6,,,SYNTHETIC S06C-600-MIXED
